"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","135","181","1,749","13.0","92","29","12","14","113","2","2","17","268.2","15.8","100.0%"
"2","Tyreek Hill (MIA)","119","171","1,799","15.1","78","29","13","6","15","0","1","16","257.4","16.1","100.0%"
"3","Amon-Ra St. Brown (DET)","119","164","1,515","12.7","70","24","10","4","24","0","1","16","211.9","13.2","100.0%"
"4","Mike Evans (TB)","79","136","1,255","15.9","75","20","13","0","0","0","0","17","203.5","12.0","98.1%"
"5","Puka Nacua (LAR)","105","160","1,486","14.2","80","25","6","12","89","0","0","17","193.5","11.4","96.9%"
"6","DJ Moore (CHI)","96","136","1,364","14.2","58","25","8","4","21","1","1","17","190.5","11.2","97.7%"
"7","Deebo Samuel Sr. (SF)","60","89","892","14.9","54","15","7","37","225","5","0","15","183.7","12.2","98.7%"
"8","A.J. Brown (PHI)","106","158","1,456","13.7","59","21","7","0","0","0","2","17","183.6","10.8","99.9%"
"9","Nico Collins (HOU)","80","109","1,297","16.2","75","25","8","1","7","0","0","15","180.4","12.0","95.6%"
"10","Brandon Aiyuk (SF)","75","105","1,342","17.9","76","28","7","0","0","0","1","16","174.2","10.9","98.2%"
"11","Keenan Allen (CHI)","108","150","1,243","11.5","42","19","7","2","6","0","1","13","170.9","13.1","91.0%"
"12","Stefon Diggs (HOU)","107","160","1,183","11.1","55","10","8","1","5","0","1","17","166.8","9.8","99.7%"
"13","Ja'Marr Chase (CIN)","100","145","1,216","12.2","76","14","7","3","-6","0","0","16","162.7","10.2","99.4%"
"14","Davante Adams (LV)","103","175","1,144","11.1","46","13","8","0","0","0","0","17","162.4","9.6","99.9%"
"15","DK Metcalf (SEA)","66","119","1,114","16.9","73","19","8","0","0","0","0","16","159.4","10.0","98.5%"
"16","Amari Cooper (CLE)","72","128","1,250","17.4","75","21","5","0","0","0","1","15","155.0","10.3","91.6%"
"17","Calvin Ridley (TEN)","76","136","1,016","13.4","59","17","8","9","23","0","0","17","153.9","9.1","95.1%"
"18","Jayden Reed (GB)","64","94","793","12.4","59","13","8","11","119","2","0","16","153.2","9.6","77.4%"
"19","Jordan Addison (MIN)","70","108","911","13.0","62","15","10","1","2","0","0","17","151.3","8.9","88.4%"
"20","DeAndre Hopkins (TEN)","75","137","1,057","14.1","61","15","7","2","9","0","0","17","148.6","8.7","92.1%"
"21","Jakobi Meyers (LV)","71","106","807","11.4","33","8","8","4","24","2","0","16","147.6","9.2","73.7%"
"22","DeVonta Smith (PHI)","81","112","1,066","13.2","63","14","7","0","0","0","1","16","146.6","9.2","98.0%"
"23","George Pickens (PIT)","63","106","1,140","18.1","86","22","5","3","18","0","0","17","145.8","8.6","87.1%"
"24","Chris Olave (NO)","87","138","1,123","12.9","51","16","5","0","0","0","0","16","144.3","9.0","98.8%"
"25","Michael Pittman Jr. (IND)","109","156","1,152","10.6","75","10","4","0","0","0","1","16","141.2","8.8","97.1%"
"26","Justin Jefferson (MIN)","68","100","1,074","15.8","52","25","5","1","-12","0","1","10","134.2","13.4","100.0%"
"27","Rashee Rice (KC)","79","102","938","11.9","67","10","7","1","-3","0","1","16","133.5","8.3","89.1%"
"28","Courtland Sutton (DEN)","59","90","772","13.1","46","14","10","0","0","0","3","16","131.2","8.2","83.2%"
"29","Zay Flowers (BAL)","77","108","858","11.1","75","12","5","8","56","1","0","16","129.4","8.1","92.0%"
"30","Adam Thielen (CAR)","103","137","1,014","9.8","32","9","4","1","6","0","0","17","128.0","7.5","72.2%"
"31","Jaylen Waddle (MIA)","72","104","1,014","14.1","60","12","4","3","12","0","0","14","126.6","9.0","96.3%"
"32","Chris Godwin (TB)","83","130","1,024","12.3","47","14","2","4","38","1","0","17","126.2","7.4","90.3%"
"33","Terry McLaurin (WAS)","79","132","1,002","12.7","48","15","4","0","0","0","0","17","124.2","7.3","90.3%"
"34","Tyler Lockett (SEA)","79","122","894","11.3","37","9","5","0","0","0","0","17","123.4","7.3","88.6%"
"35","Brandin Cooks (DAL)","54","81","657","12.2","37","11","8","5","35","0","0","16","119.2","7.5","43.4%"
"36","Garrett Wilson (NYJ)","95","168","1,042","11.0","68","11","3","4","0","0","2","17","118.2","7.0","97.8%"
"37","Tank Dell (HOU)","47","75","709","15.1","68","10","7","11","51","0","0","11","118.0","10.7","60.3%"
"38","Gabe Davis (JAC)","45","81","746","16.6","57","12","7","1","-2","0","1","17","116.4","6.8","53.1%"
"39","Romeo Doubs (GB)","59","96","674","11.4","36","7","8","0","0","0","0","17","115.4","6.8","43.9%"
"40","Rashid Shaheed (NO)","46","75","719","15.6","58","12","5","7","37","0","1","16","109.6","6.9","49.3%"
"41","Cooper Kupp (LAR)","59","95","737","12.5","62","10","5","1","-3","0","0","12","105.4","8.8","98.0%"
"42","Drake London (ATL)","69","110","905","13.1","45","17","2","0","0","0","0","16","105.4","6.6","93.1%"
"43","Diontae Johnson (CAR)","51","87","717","14.1","71","10","5","0","0","0","0","13","101.7","7.8","83.2%"
"44","Darius Slayton (NYG)","50","79","770","15.4","80","11","4","0","0","0","0","17","101.0","5.9","2.6%"
"45","Tee Higgins (CIN)","42","76","656","15.6","80","8","5","0","0","0","0","12","95.6","8.0","94.2%"
"46","Curtis Samuel (BUF)","62","91","613","9.9","37","7","4","7","39","1","0","16","95.2","6.0","50.3%"
"47","Christian Kirk (JAC)","57","85","787","13.8","57","13","3","1","6","0","2","12","93.3","7.8","70.8%"
"48","Josh Downs (IND)","68","98","771","11.3","59","10","2","0","0","0","0","17","89.1","5.2","26.8%"
"49","Josh Reynolds (DEN)","40","64","608","15.2","33","17","5","0","0","0","1","17","88.8","5.2","7.3%"
"50","Jerry Jeudy (CLE)","54","87","758","14.0","47","10","2","0","0","0","0","16","87.8","5.5","63.1%"
"51","Jaxon Smith-Njigba (SEA)","63","93","628","10.0","35","7","4","0","0","0","0","17","86.8","5.1","76.0%"
"52","Hollywood Brown (KC)","51","101","574","11.3","41","8","4","2","23","0","0","14","83.7","6.0","79.1%"
"53","Dontayvion Wicks (GB)","39","58","581","14.9","35","11","4","1","1","0","1","15","80.8","5.4","6.9%"
"54","DJ Chark Jr. (LAC)","35","66","525","15.0","47","9","5","0","0","0","1","15","80.5","5.4","4.7%"
"55","Tyler Boyd (TEN)","67","98","667","10.0","64","6","2","2","11","0","0","17","78.8","4.6","28.1%"
"56","Michael Wilson (ARI)","38","58","565","14.9","69","7","3","0","0","0","0","13","76.5","5.9","6.7%"
"57","Jahan Dotson (WAS)","49","83","518","10.6","33","5","4","0","0","0","0","17","75.8","4.5","30.8%"
"58","Khalil Shakir (BUF)","39","45","611","15.7","81","10","2","1","10","0","0","17","74.1","4.4","12.7%"
"59","Tutu Atwell (LAR)","39","67","483","12.4","44","8","3","5","31","0","0","16","73.4","4.6","9.3%"
"60","Christian Watson (GB)","28","53","422","15.1","77","5","5","4","11","0","0","9","73.3","8.1","74.9%"
"61","Wan'Dale Robinson (NYG)","60","78","525","8.8","33","7","1","9","87","1","0","15","73.2","4.9","8.7%"
"62","Elijah Moore (CLE)","59","104","640","10.8","42","9","2","9","11","0","2","17","73.1","4.3","23.1%"
"63","Odell Beckham Jr. (MIA)","35","64","565","16.1","51","10","3","0","0","0","1","14","72.5","5.2","33.0%"
"64","K.J. Osborn (NE)","48","75","540","11.3","47","6","3","0","0","0","0","16","72.0","4.5","15.3%"
"65","Joshua Palmer (LAC)","38","61","581","15.3","79","9","2","1","6","0","1","11","68.7","6.2","24.6%"
"66","Noah Brown (HOU)","33","55","567","17.2","75","14","2","1","-1","0","0","10","68.6","6.9","23.4%"
"67","Rondale Moore (ATL)","40","62","352","8.8","48","4","1","28","178","1","0","17","65.0","3.8","5.2%"
"68","Alec Pierce (IND)","32","65","514","16.1","58","8","2","0","0","0","0","17","63.4","3.7","2.3%"
"69","Kendrick Bourne (NE)","37","55","406","11.0","36","5","4","1","4","0","1","8","63.0","7.9","4.3%"
"70","Kalif Raymond (DET)","35","44","489","14.0","41","9","1","7","75","0","0","17","62.4","3.7","1.3%"
"71","Nelson Agholor (BAL)","35","45","381","10.9","37","4","4","0","0","0","0","17","62.1","3.7","0.8%"
"72","Justin Watson (KC)","27","53","460","17.0","41","8","3","0","0","0","1","16","62.0","3.9","1.7%"
"73","Demarcus Robinson (LAR)","26","39","371","14.3","37","7","4","1","23","0","1","13","61.4","4.7","15.2%"
"74","DeMario Douglas (NE)","49","79","561","11.4","42","6","0","8","41","0","1","14","58.2","4.2","22.5%"
"75","Nick Westbrook-Ikhine (TEN)","28","45","370","13.2","33","8","3","0","0","0","0","14","57.0","4.1","0.2%"
"76","Trey Palmer (TB)","39","68","385","9.9","54","6","3","3","22","0","1","17","56.7","3.3","1.5%"
"77","Jameson Williams (DET)","24","42","354","14.8","63","5","2","3","29","1","0","12","56.3","4.7","44.7%"
"78","Quentin Johnston (LAC)","38","67","431","11.3","57","5","2","3","9","0","0","17","56.0","3.3","17.5%"
"79","Brandon Johnson (DEN)","19","30","284","14.9","50","6","4","0","0","0","0","13","54.4","4.2","2.0%"
"80","Michael Gallup (LV)","34","57","418","12.3","41","6","2","0","0","0","0","17","53.8","3.2","6.3%"
"81","Tre Tucker (LV)","19","34","331","17.4","50","6","2","10","77","0","0","16","52.8","3.3","0.6%"
"82","Michael Thomas (FA)","39","64","448","11.5","31","4","1","0","0","0","0","10","50.8","5.1","17.0%"
"83","Robert Woods (HOU)","40","75","426","10.7","26","2","1","1","7","0","0","14","49.3","3.5","2.7%"
"84","Marvin Mims Jr. (DEN)","22","33","377","17.1","60","6","1","9","30","0","2","16","48.7","3.0","7.1%"
"85","A.T. Perry (NO)","12","18","246","20.5","44","5","4","0","0","0","0","10","48.6","4.9","0.7%"
"86","Darnell Mooney (ATL)","31","61","414","13.4","41","7","1","2","5","0","0","15","47.9","3.2","38.1%"
"87","KaVontae Turpin (DAL)","12","18","127","10.6","34","2","3","11","110","1","0","16","47.7","3.0","0.7%"
"88","Cedrick Wilson Jr. (NO)","22","38","296","13.5","31","5","3","0","0","0","0","15","47.6","3.2","1.1%"
"89","Chris Moore (ARI)","22","35","424","19.3","49","9","0","2","39","0","0","17","46.3","2.7","0.1%"
"90","Rashod Bateman (BAL)","32","56","367","11.5","29","2","1","1","18","0","0","16","44.5","2.8","9.4%"
"91","Zay Jones (ARI)","34","64","321","9.4","36","3","2","0","0","0","0","9","44.1","4.9","15.7%"
"92","Jonathan Mingo (CAR)","43","85","418","9.7","40","6","0","0","0","0","0","15","41.8","2.8","7.0%"
"93","Greg Dortch (ARI)","24","41","280","11.7","38","3","2","1","5","0","0","16","40.5","2.5","4.3%"
"94","DeVante Parker (FA)","33","55","394","11.9","30","6","0","0","0","0","0","13","39.4","3.0","1.7%"
"95","Isaiah Hodgins (NYG)","21","33","230","11.0","24","1","3","0","0","0","1","17","39.0","2.3","0.6%"
"96","Brandon Powell (MIN)","29","44","324","11.2","28","6","1","5","17","0","1","17","38.1","2.2","0.7%"
"97","Jake Bobo (SEA)","19","25","196","10.3","31","3","2","1","3","1","0","17","37.9","2.2","0.3%"
"98","Xavier Gipson (NYJ)","21","38","229","10.9","36","4","0","8","68","1","2","17","37.7","2.2","0.7%"
"99","Trenton Irwin (CIN)","25","32","316","12.6","32","7","1","0","0","0","0","16","37.6","2.4","0.6%"
"100","Jalin Hyatt (NYG)","23","40","373","16.2","58","7","0","0","0","0","0","17","37.3","2.2","3.4%"
"101","Allen Lazard (NYJ)","23","49","311","13.5","39","5","1","0","0","0","0","14","37.1","2.7","4.8%"
"102","Jalen Tolbert (DAL)","22","36","268","12.2","45","3","2","0","0","0","1","17","36.8","2.2","1.9%"
"103","Calvin Austin III (PIT)","17","30","180","10.6","72","1","1","11","57","1","0","17","35.7","2.1","0.8%"
"104","Andrei Iosivas (CIN)","15","25","116","7.7","16","0","4","0","0","0","0","16","35.6","2.2","0.5%"
"105","Marquez Valdes-Scantling (BUF)","21","42","315","15.0","46","5","1","0","0","0","1","16","35.5","2.2","1.2%"
"106","David Bell (CLE)","14","23","167","11.9","41","3","3","0","0","0","0","15","34.7","2.3","0.2%"
"107","Lil'Jordan Humphrey (DEN)","13","19","162","12.5","54","1","3","0","0","0","0","17","34.2","2.0","0.1%"
"108","Skyy Moore (KC)","21","38","244","11.6","54","3","1","3","23","0","0","14","32.7","2.3","6.4%"
"109","Jauan Jennings (SF)","19","33","265","13.9","31","4","1","0","0","0","0","13","32.5","2.5","0.7%"
"110","JuJu Smith-Schuster (NE)","29","47","260","9.0","37","3","1","0","0","0","0","11","32.0","2.9","6.9%"
"111","Mike Williams (NYJ)","19","26","249","13.1","49","4","1","1","3","0","0","3","31.2","10.4","47.9%"
"112","Braxton Berrios (MIA)","27","33","238","8.8","22","1","1","1","11","0","0","16","30.9","1.9","1.2%"
"113","Bo Melton (GB)","16","24","218","13.6","37","3","1","3","21","0","0","4","29.9","7.5","0.3%"
"114","Alex Erickson (FA)","16","29","232","14.5","27","4","1","0","0","0","0","8","29.2","3.7","0.0%"
"115","Olamide Zaccheaus (WAS)","10","20","164","16.4","34","4","2","0","0","0","0","17","28.4","1.7","0.1%"
"116","Scotty Miller (PIT)","11","16","161","14.6","56","2","2","0","0","0","0","17","28.1","1.7","0.1%"
"117","Allen Robinson II (NYG)","34","49","280","8.2","31","2","0","0","0","0","0","17","28.0","1.6","0.6%"
"118","Jamal Agnew (FA)","14","21","225","16.1","65","2","1","4","-2","0","1","11","26.3","2.4","1.0%"
"119","Kadarius Toney (KC)","27","38","169","6.3","18","0","1","11","31","0","0","13","26.0","2.0","5.9%"
"120","Julio Jones (FA)","11","19","74","6.7","22","1","3","0","0","0","0","11","25.4","2.3","0.6%"
"121","Mack Hollins (BUF)","18","30","251","13.9","45","3","0","0","0","0","0","13","25.1","1.9","0.3%"
"122","Deonte Harty (BAL)","15","21","150","10.0","43","2","1","4","0","0","1","16","25.0","1.6","0.1%"
"123","Ronnie Bell (SF)","6","13","68","11.3","20","1","3","0","0","0","0","16","24.8","1.6","0.1%"
"124","Ihmir Smith-Marsette (CAR)","8","10","51","6.4","18","0","0","8","74","1","0","17","24.5","1.4","0.1%"
"125","Treylon Burks (TEN)","16","30","221","13.8","70","4","0","5","18","0","0","11","23.9","2.2","6.0%"
"126","Hunter Renfrow (FA)","25","37","255","10.2","38","3","0","0","0","0","1","17","23.5","1.4","0.6%"
"127","Parker Washington (JAC)","16","21","132","8.3","19","0","2","0","0","0","1","9","23.2","2.6","2.6%"
"128","KhaDarel Hodge (ATL)","14","23","232","16.6","52","3","0","1","0","0","0","17","23.2","1.4","0.1%"
"129","Cedric Tillman (CLE)","21","44","224","10.7","23","1","0","1","8","0","0","14","23.2","1.7","0.8%"
"130","Dyami Brown (WAS)","12","23","168","14.0","35","2","1","1","0","0","0","17","23.0","1.4","0.1%"
"131","Jalen Reagor (NE)","7","23","138","19.7","39","3","0","1","17","0","0","11","21.5","2.0","0.1%"
"132","Van Jefferson (PIT)","20","43","209","10.5","46","1","0","1","4","0","0","17","21.3","1.3","1.3%"
"133","Derius Davis (LAC)","15","17","66","4.4","18","0","0","14","101","0","1","17","20.7","1.2","0.3%"
"134","Quez Watkins (PIT)","15","21","142","9.5","19","0","1","0","0","0","0","9","20.2","2.2","0.1%"
"135","Jamison Crowder (WAS)","16","20","159","9.9","26","1","1","0","0","0","1","17","19.9","1.2","0.3%"
"136","Tyler Scott (CHI)","17","32","168","9.9","30","1","0","7","41","0","1","17","18.9","1.1","0.3%"
"137","Robbie Chosen (FA)","4","6","126","31.5","68","2","1","0","0","0","0","9","18.6","2.1","0.0%"
"138","Malik Heath (GB)","15","24","125","8.3","16","0","1","0","0","0","0","13","18.5","1.4","0.1%"
"139","River Cracraft (MIA)","9","12","121","13.4","24","2","1","0","0","0","0","10","18.1","1.8","0.1%"
"140","Deven Thompkins (FA)","17","25","83","4.9","26","1","1","8","56","0","1","17","17.9","1.1","0.1%"
"141","Ray-Ray McCloud III (ATL)","12","15","135","11.3","41","2","0","3","30","0","0","12","16.5","1.4","0.6%"
"142","John Metchie III (HOU)","16","30","158","9.9","22","1","0","1","4","0","0","16","16.2","1.0","0.8%"
"143","Kyle Philips (TEN)","15","22","181","12.1","29","4","0","0","0","0","1","9","16.1","1.8","0.1%"
"144","Donovan Peoples-Jones (DET)","13","25","155","11.9","29","2","0","0","0","0","0","15","15.5","1.0","1.7%"
"145","David Moore (CAR)","5","7","94","18.8","52","1","1","0","0","0","0","7","15.4","2.2","0.1%"
"146","Jalen Guyton (LV)","10","21","89","8.9","18","0","1","0","0","0","0","8","14.9","1.9","1.1%"
"147","Trent Sherfield Sr. (MIN)","11","22","86","7.8","12","0","1","0","0","0","0","17","14.6","0.9","0.1%"
"148","Tyquan Thornton (NE)","13","23","91","7.0","15","0","0","3","51","0","0","9","14.2","1.6","0.1%"
"149","Byron Pringle (FA)","14","22","161","11.5","26","1","0","0","0","0","1","16","14.1","0.9","0.0%"
"150","Terrace Marshall Jr. (CAR)","19","33","139","7.3","14","0","0","0","0","0","0","9","13.9","1.5","0.1%"
"151","Xavier Hutchinson (HOU)","8","19","90","11.3","34","1","0","5","49","0","0","15","13.9","0.9","0.1%"
"152","Charlie Jones (CIN)","7","9","64","9.1","35","1","0","2","13","0","0","11","13.7","1.2","0.2%"
"153","Chase Claypool (BUF)","8","21","77","9.6","20","1","1","0","0","0","0","11","13.7","1.2","0.8%"
"154","Ben Skowronek (HOU)","8","12","66","8.3","20","1","1","2","9","0","0","17","13.5","0.8","0.1%"
"155","Randall Cobb (FA)","5","17","39","7.8","15","0","1","0","0","0","0","11","11.9","1.1","0.0%"
"156","D.J. Montgomery (IND)","3","8","56","18.7","34","1","1","0","0","0","0","7","11.6","1.7","0.0%"
"157","Jason Brownlee (NYJ)","5","8","56","11.2","24","1","1","0","0","0","0","7","11.6","1.7","0.1%"
"158","Lynn Bowden Jr. (FA)","11","16","83","7.5","17","0","0","5","32","0","0","15","11.5","0.8","0.0%"
"159","Laviska Shenault Jr. (SEA)","10","10","60","6.0","14","0","0","12","55","0","0","8","11.5","1.4","0.1%"
"160","Mecole Hardman Jr. (KC)","15","24","124","8.3","37","1","0","1","3","0","1","10","10.7","1.1","1.2%"
"161","Parris Campbell (PHI)","20","27","104","5.2","17","0","0","0","0","0","0","12","10.4","0.9","0.7%"
"162","Sterling Shepard (TB)","10","22","57","5.7","13","0","1","1","6","0","1","15","10.3","0.7","0.1%"
"163","Marquise Goodwin (FA)","4","13","67","16.8","57","1","0","4","33","0","0","12","10.0","0.8","0.0%"
"164","Keith Kirkwood (BAL)","5","9","37","7.4","13","0","1","0","0","0","0","13","9.7","0.7","0.0%"
"165","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","9.6","1.1","0.0%"
"166","Richie James Jr. (FA)","10","14","114","11.4","45","1","0","0","0","0","1","9","9.4","1.0","0.0%"
"167","Tim Jones (JAC)","11","18","83","7.5","15","0","0","0","0","0","0","17","8.3","0.5","0.0%"
"168","Samori Toure (GB)","8","18","78","9.8","35","1","0","0","0","0","1","11","7.8","0.7","0.0%"
"169","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","7.1","0.8","0.1%"
"170","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","7.1","0.5","0.2%"
"171","Chris Conley (SF)","3","6","69","23.0","48","1","0","0","0","0","0","8","6.9","0.9","0.0%"
"172","Simi Fehoko (LAC)","1","2","9","9.0","9","0","1","0","0","0","0","5","6.9","1.4","0.0%"
"173","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","0.1%"
"175","Equanimeous St. Brown (NO)","5","6","62","12.4","21","1","0","0","0","0","0","7","6.2","0.9","0.1%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","1","0","1","0","0","0","10","6.0","0.6","0.0%"
"177","DeAndre Carter (CHI)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.0%"
"178","Isaiah McKenzie (NYG)","11","14","82","7.5","30","1","0","3","14","0","2","13","5.6","0.4","0.1%"
"179","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.2%"
"180","Mike Strachan (CAR)","1","3","45","45.0","45","1","0","0","0","0","0","4","4.5","1.1","0.0%"
"181","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","4.2","0.3","0.1%"
"182","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","3.8","0.4","0.0%"
"183","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.2%"
"184","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"185","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","2.9","0.5","0.0%"
"186","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","0.1%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.0%"
"188","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"189","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.0","0.2","0.0%"
"190","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","1.9","0.1","0.1%"
"191","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","0.1%"
"192","Miles Boykin (NYG)","3","4","17","5.7","6","0","0","0","0","0","0","16","1.7","0.1","0.0%"
"193","Laquon Treadwell (FA)","1","3","16","16.0","16","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"194","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","1.5","0.3","0.1%"
"195","Willie Snead IV (FA)","2","3","14","7.0","9","0","0","0","0","0","0","4","1.4","0.4","0.0%"
"196","Malik Taylor (NYJ)","2","4","13","6.5","7","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"197","Collin Johnson (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"198","Cody Thompson (TB)","1","1","10","10.0","10","0","0","0","0","0","0","6","1.0","0.2","0.0%"
"199","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","0.9","0.1","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
